,State,Debt,PerCapita,Pop,Happiness Score,Cost of living index,Housing cost index,2019 Income,2018 Income,2017 Income,2016 Income,2015 Income,2014 Income,2013 Income,2012 Income,2011 Income,2010 Income,2010 to 2019 Income Percent Change,Auto Loan Debt,Credit Card Debt,Mortgage debt,Student loan debt,Total personal debt,Income To COL Ratio
32,Kansas,7538475000.0,2551.2364,2954832,49.9,86.4,71.7,62087,58218,56422,54935,53906,52504,50972,50241,48964,48257,2.84,4280,2610,24930,5590,39480,718.599537037037
33,Montana,2795614000.0,2534.1252,1103187,51.34,104.8,119.0,57153,55328,53386,50027,49509,46328,46972,45076,44222,42666,3.3,4580,2740,33350,4720,48380,545.3530534351145
34,Mississippi,7470178000.0,2523.6448,2960075,39.58,88.6,79.5,45792,44717,43529,41754,40593,39680,37963,37095,36919,36851,2.44,5460,2080,17040,6060,34060,516.8397291196388
35,Utah,7453346000.0,2209.6021,3373162,62.41,102.4,108.2,75780,71414,65358,65977,62912,60922,59770,57049,55869,54744,3.68,5480,2780,49530,4270,65360,740.0390625
36,Oklahoma,8457322000.0,2113.8269,4000953,40.69,85.7,71.0,54449,51924,50051,49176,48568,47529,45690,44312,43225,42072,2.91,5130,2450,20890,4630,35130,635.3442240373396
37,Arizona,14291349000.0,1956.8082,7303398,50.22,106.9,121.5,62055,59246,56581,53558,51492,50068,48510,47826,46709,46789,3.19,5480,3030,40000,5410,56250,580.4957904583723
38,Iowa,6149694000.0,1910.3347,3219171,55.57,89.0,72.0,61691,59955,58570,56247,54736,53712,52229,50957,49427,47961,2.84,4740,2370,26590,5290,41400,693.1573033707865
39,Idaho,3369178000.0,1779.4234,1893410,61.6,99.7,106.0,60999,55583,52225,51807,48275,47861,46783,45489,43341,43490,3.83,4900,2640,37110,4890,53030,611.8254764292878
40,Alabama,8772871000.0,1729.2623,5073187,39.32,87.5,69.9,51734,49861,48123,46257,44765,42830,42849,41574,41415,40474,2.76,5330,2330,23060,5280,39140,591.2457142857143
41,Texas,50963262000.0,1701.8675,29945493,47.74,90.9,82.5,64034,60629,59206,56565,55653,53035,51704,50740,49392,48615,3.11,7000,3080,29200,5160,46840,704.4444444444445
42,Arkansas,4801939000.0,1584.4605,3030646,38.23,89.9,78.1,48952,47062,45869,44334,41995,41262,40511,40112,38758,38307,2.76,5760,2300,20010,4650,35180,544.516129032258
43,North Carolina,16310177000.0,1535.7739,10620168,53.65,95.0,88.9,57341,53855,52752,50584,47830,46556,45906,45150,43916,43326,3.16,5360,2810,31620,5550,48480,603.5894736842105
44,Wyoming,769721000.0,1328.2617,579495,52.4,91.8,80.4,65003,61584,60434,59882,60214,57055,58752,54901,56322,53512,2.18,5470,2800,33060,3540,47400,708.0936819172114
45,Florida,28823847000.0,1305.099,22085563,55.08,103.0,107.6,59227,55462,52594,50860,49426,47463,46036,45040,44299,44409,3.25,5580,3340,31980,5140,49100,575.0194174757281
46,Georgia,13050862000.0,1195.4886,10916760,54.78,87.8,75.4,61980,58756,56183,53559,51244,49321,47829,47209,46007,46430,3.26,5750,3110,31930,7610,51140,705.9225512528474
47,Nevada,3248814000.0,1019.8994,3185426,48.16,105.4,118.0,63276,58646,58003,55180,52431,51450,51230,49760,48927,51001,2.43,5450,3220,41590,4490,57130,600.3415559772295
48,Nebraska,2014523000.0,1013.0684,1988536,58.19,91.5,83.6,63229,59566,59970,56927,54996,52686,51440,50723,50296,48408,3.01,4410,2680,27640,5270,42350,691.0273224043716
49,Tennessee,6127422000.0,872.3814,7023788,43.35,89.5,80.0,56071,52375,51340,48547,47275,44361,44297,42764,41693,41461,3.41,4950,2460,28210,5210,44080,626.4916201117319
